date, kilometers
05/01/17, 144
24/02/17, 2845
28/03/17, 4879
30/04/17, 7717
31/05/17, 9231
20/06/17, 10135
20/07/17, 12075
20/08/17, 14007
20/09/17, 16289
20/10/17, 18300
8/11/17, 19194
26/12/17, 23296
